model,heads,data,epoch,transformer,max_len,batch_size,lr,dropout,encoder-feature-layers,decoder-feature-layers,accuracy_train,f1_train,recall_train,precision_train,f1_weighted_train,recall_weighted_train,precision_weighted_train,loss_train,accuracy_val,me_accuracy_val,f1_val,me_f1_val,recall_val,me_recall_val,precision_val,me_precision_val,f1_weighted_val,me_f1_weighted_val,recall_weighted_val,me_recall_weighted_val,precision_weighted_val,me_precision_weighted_val,loss_val
MTL2,DETOXIS-EXIST,DETOXIS,1,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-06,0.3,1,0,0.67677734375,0.41495121866243795,0.5001630388970593,0.501061373108148,0.5568050768800163,0.67677734375,0.5664612895568737,0.6287317827343941,0.6818179883143007,0.0139,0.4054052374613003,0.0146,0.5,0.0149,0.34090899415715037,0.0141,0.5528255017060004,0.0148,0.6818179883143007,0.0139,0.4648762429647638,0.0148,0.6134703772408622
MTL2,DETOXIS-EXIST,EXIST,1,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-06,0.3,1,0,0.5247265624999999,0.5241460088121114,0.5246565169540701,0.5247994138197689,0.5241848610931816,0.5247265624999999,0.5248068716832277,0.6923415882885455,0.5941444966092854,0.0128,0.562915109643588,0.0129,0.5933732178126471,0.0128,0.6324124299509537,0.0125,0.5633034128192085,0.0129,0.5941444966092854,0.0128,0.6321873161636924,0.0125,0.6790012742791857
MTL2,DETOXIS-EXIST,DETOXIS,2,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-06,0.3,1,0,0.68740234375,0.43093495208347543,0.51113691081377,0.7525005129551865,0.5696430679430273,0.68740234375,0.7284370089117815,0.5942101659625768,0.7125078490011814,0.0135,0.526574128481675,0.0149,0.561961294732059,0.0148,0.7739092375235905,0.0125,0.6341648532188111,0.0143,0.7125078490011814,0.0135,0.7511961196970954,0.0129,0.5662251191479819
MTL2,DETOXIS-EXIST,EXIST,2,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-06,0.3,1,0,0.62142578125,0.619659981993945,0.6211290998879657,0.6233532305323577,0.6197793622976586,0.62142578125,0.6232918712967157,0.6604943086206914,0.7050382542166578,0.0119,0.7019205211448878,0.0119,0.7047838563185852,0.0119,0.7134424863868184,0.0118,0.702004167717195,0.0119,0.7050382542166578,0.0119,0.7133402993339948,0.0118,0.6130316172327314
MTL2,DETOXIS-EXIST,DETOXIS,3,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-06,0.3,1,0,0.7467187499999999,0.6442856185598704,0.6363500677978874,0.7341218078991838,0.7140713923050526,0.7467187499999999,0.7409104960516639,0.5216365949064492,0.7503490810016922,0.0129,0.6809135489401582,0.0139,0.6710999706748905,0.014,0.7205388966008031,0.0134,0.7348043297691806,0.0131,0.7503490810016922,0.0129,0.7413713474667526,0.013,0.514937025308609
MTL2,DETOXIS-EXIST,EXIST,3,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-06,0.3,1,0,0.7382812500000001,0.7380217923739311,0.7381495629596699,0.7389378661624455,0.7380613409102242,0.7382812500000001,0.738884995708151,0.5499712467938661,0.7549308194848101,0.0112,0.7518136757483984,0.0112,0.7545236512386124,0.0112,0.7667734045967606,0.011,0.7519222770116725,0.0112,0.7549308194848101,0.0112,0.7665628865607834,0.011,0.5167485960892269
MTL2,DETOXIS-EXIST,DETOXIS,4,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-06,0.3,1,0,0.7837109375000001,0.7272376306433023,0.7126340561829889,0.7618053601978252,0.7725987492987658,0.7837109375000001,0.7765214234005012,0.4648736633360386,0.7586514617766945,0.0127,0.6975568010613161,0.0137,0.6870443943949327,0.0138,0.7280554519667842,0.0132,0.746839534926383,0.0129,0.7586514617766945,0.0127,0.7500293930852739,0.0129,0.5037855914660863
MTL2,DETOXIS-EXIST,EXIST,4,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-06,0.3,1,0,0.78865234375,0.7885122762897782,0.7885535443576848,0.7891834146132071,0.7885367146698142,0.78865234375,0.7891333455043645,0.4670857135206462,0.7755592195146186,0.0109,0.7742472102135685,0.0109,0.775255735614759,0.0109,0.7811597848021299,0.0108,0.774320332815288,0.0109,0.7755592195146186,0.0109,0.7809968572160388,0.0108,0.48645685357706886
MTL2,DETOXIS-EXIST,DETOXIS,5,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-06,0.3,1,0,0.8086523437500001,0.7634159333424161,0.7487958020170525,0.7915821523391614,0.8010986710599524,0.8086523437500001,0.8037877050574664,0.4250630589947105,0.7688056746948202,0.0126,0.718053929006051,0.0134,0.7092206702504213,0.0135,0.7376663918895398,0.0131,0.7614191087588791,0.0127,0.7688056746948202,0.0126,0.762202190151327,0.0127,0.5005075309957777
MTL2,DETOXIS-EXIST,EXIST,5,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-06,0.3,1,0,0.8197656249999999,0.8196668622754137,0.8196784377599486,0.8202432467718304,0.8196857407492344,0.8197656249999999,0.8201937040749762,0.41666391270235187,0.7794392900613556,0.0108,0.777750849217448,0.0108,0.779079976504179,0.0108,0.7872564788356045,0.0107,0.7778347468354776,0.0108,0.7794392900613556,0.0108,0.7870566293039507,0.0107,0.4863635778427124
MTL2,DETOXIS-EXIST,DETOXIS,6,dccuchile/bert-base-spanish-wwm-cased,128,64,5e-06,0.3,1,0,0.82896484375,0.7918482957289099,0.7783256140246906,0.8142707134282805,0.8237901229792092,0.82896484375,0.8253799916231067,0.39179034845903515,0.7718000021285427,0.0125,0.7215671674918452,0.0133,0.7121827719984479,0.0135,0.7408836692336773,0.013,0.7644918540482236,0.0126,0.7718000021285427,0.0125,0.7647416320395644,0.0126,0.5015204101800919
